Scheduler,Wall Clock Time (sec),Total User Mode CPU Seconds,Total Kernel Mode CPU Seconds,CPU Percentage,Total Non-Voluntary Context Switches,Total Voluntary Context Switches,# Processes,Uinform priority,test
RR,1.086666667,0.013333333,1.263333333,118%,5063,16930.66667,50,N,IO
RR,1.93,0.02,2.16,113%,3,33754,100,,IO
RR,1.72,0.02,1.85,109%,6,37551,100,,IO
RR,2.58,0.03,2,78%,3,42697,100,,IO
RR,2.076666667,0.023333333,2.003333333,100%,4,38000.66667,100,Y,IO
RR,2.29,0.02,2.66,117%,10485,34615,100,,IO
RR,2.36,0.03,2.85,122%,10375,34090,100,,IO
RR,2.69,0.01,3.01,112%,10577,35086,100,,IO
RR,2.446666667,0.02,2.84,117%,10479,34597,100,N,IO
SCHED_OTHER,23.29,45.04,0.23,194%,12526,15,10,,
SCHED_OTHER,25.37,48.77,0.42,193%,13301,16,10,,
SCHED_OTHER,27.33,50.07,0.63,185%,13931,19,10,,
OTHER,25.33,47.96,0.426666667,191%,13252.66667,16.66666667,10,Y,MIX
OTHER,26.98,48.8,0.45,182%,6351,16,10,,MIX
OTHER,24.65,47.39,0.21,193%,6194,20,10,,MIX
OTHER,23.44,45.92,0.18,196%,5415,16,10,,MIX
OTHER,25.02333333,47.37,0.28,190%,5986.666667,17.33333333,10,N,MIX
OTHER,113.94,226.35,0.71,199%,57493,68,50,,MIX
OTHER,113.21,224.42,0.73,198%,58283,59,50,,MIX
OTHER,113.02,224.51,0.7,199%,57817,60,50,,MIX
OTHER,113.39,225.0933333,0.713333333,199%,57864.33333,62.33333333,50,Y,MIX
OTHER,119.43,236.84,0.8,198%,49035,57,50,,MIX
OTHER,120.56,238.74,0.78,198%,48385,61,50,,MIX
OTHER,111.14,220.51,0.74,199%,44590,57,50,,MIX
OTHER,117.0433333,232.03,0.773333333,198%,47336.66667,58.33333333,50,N,MIX
OTHER,219.32,436.37,1.17,199%,110300,129,100,,MIX
OTHER,230.45,456.83,1.59,198%,117448,109,100,,MIX
OTHER,234.32,463.47,1.48,198%,120224,109,100,,MIX
OTHER,228.03,452.2233333,1.413333333,198%,115990.6667,115.6666667,100,Y,MIX
OTHER,236.4,468.52,1.5,198%,99072,119,100,,MIX
OTHER,259.03,506.67,1.6,196%,109406,108,100,,MIX
OTHER,247.67,476.2,3.67,193%,113258,108,100,,MIX
OTHER,247.7,483.7966667,2.256666667,196%,107245.3333,111.6666667,100,N,MIX
SCHED_FIFO,26.19,49.58,0.16,189%,49,16,10,,MIX
SCHED_FIFO,30.23,54.33,0.14,180%,71,16,10,,MIX
SCHED_FIFO,23.73,45,0.12,190%,47,16,10,,MIX
FIFO,26.71666667,49.63666667,0.14,186%,55.66666667,16,10,Y,MIX
FIFO,23.58,44.71,0.1,190%,90,16,10,,MIX
FIFO,23.93,45.37,0.11,190%,87,16,10,,MIX
FIFO,23.69,45,0.1,190%,97,17,10,,MIX
FIFO,23.73333333,45.02666667,0.103333333,190%,91.33333333,16.33333333,10,N,MIX
FIFO,117.9,223.39,0.64,190%,235,56,50,,MIX
FIFO,117.11,222.05,0.52,190%,256,56,50,,MIX
FIFO,116.91,221.79,0.44,190%,232,56,50,,MIX
FIFO,117.3066667,222.41,0.533333333,190,241,56,50,Y,MIX
FIFO,118.94,223.73,0.54,188%,457,62,50,,MIX
FIFO,123.5,230.5,0.66,187%,480,59,50,,MIX
FIFO,125.73,238.07,0.66,189%,478,57,50,,MIX
FIFO,122.7233333,230.7666667,0.62,188%,471.6666667,59.33333333,50,N,MIX
FIFO,329.87,624.71,2.08,190%,660,106,100,,MIX
FIFO,277.61,525.48,1.4,189%,556,106,100,,MIX
FIFO,257.22,487.22,1.3,189%,521,106,100,,MIX
FIFO,288.2333333,545.8033333,1.593333333,189%,579,106,100,Y,MIX
FIFO,294.69,554.14,1.86,188%,1071,116,100,,MIX
FIFO,312.71,589.93,2.13,189%,1143,111,100,,MIX
FIFO,284.73,537.98,1.71,189%,1083,111,100,,MIX
FIFO,297.3766667,560.6833333,1.9,189%,1099,112.6666667,100,N,MIX
SCHED_RR,23.63,44.94,0.12,190%,269,19,10,,MIX
SCHED_RR,26.97,51.15,0.13,190%,309,22,10,,MIX
SCHED_RR,26.41,50.05,0.16,190%,317,18,10,,MIX
RR,25.67,48.71333333,0.136666667,190%,298.3333333,19.66666667,10,Y,MIX
RR,24.1,45.7,0.11,190%,109,15,10,,MIX
RR,33.65,63.65,0.15,189%,119,16,10,,MIX
RR,28.74,53.72,0.16,187%,129,20,10,,MIX
RR,28.83,54.35666667,0.14,189%,119,17,10,N,MIX
RR,148.52,281.64,0.74,190%,1735,59,50,,MIX
RR,122.69,232.84,0.54,190%,1450,62,50,,MIX
RR,118.02,223.91,0.56,190%,1364,61,50,,MIX
RR,129.7433333,246.13,0.613333333,190%,1516.333333,60.66666667,50,Y,MIX
RR,112.16,212.74,0.54,190%,444,58,50,,MIX
RR,113.38,214.16,0.6,189%,432,57,50,,MIX
RR,115.34,217.79,0.58,189%,459,56,50,,MIX
RR,113.6266667,214.8966667,0.573333333,189%,445,57,50,N,MIX
RR,244.39,463.58,1.17,190%,2806,109,100,,MIX
RR,250.93,476.18,1.14,190%,2930,113,100,,MIX
RR,272.2,516.29,1.42,190%,3138,110,100,,MIX
RR,255.84,485.35,1.243333333,190%,2958,110.6666667,100,Y,MIX
RR,251,472.34,1.17,188%,963,111,100,,MIX
RR,261.44,493.08,1.44,189%,1028,111,100,,MIX
RR,252.61,479.17,1.26,190%,990,114,100,,MIX
RR,255.0166667,481.53,1.29,189%,993.6666667,112,100,N,MIX
